name,POS,Team,Games,Min,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
Mitchell Robinson,C,NYK,71,27.1,0.6409999999999999,3.9,6.1,0.5529999999999999,1.0,1.8,0.0,8.8,8.2,0.5,1.1,1.7,0.9
Nickeil Alexander-Walker,"SG,SF",NOP,71,28.5,0.4370000000000001,5.9,13.4,0.765,1.4,1.8,2.4,15.5,4.2,3.0,1.4,0.7,2.0
Kyle Anderson,"SF,PF",MEM,75,26.5,0.473,4.4,9.2,0.778,2.0,2.6,1.4,12.0,5.5,3.5,1.2,0.8,1.2
D'Angelo Russell,"PG,SG",MIN,70,30.2,0.4320000000000001,7.1,16.3,0.7509999999999999,2.8,3.8,3.0,20.0,2.8,6.1,1.1,0.4,2.8
Jamal Murray,"PG,SG",DEN,19,28.1,0.466,6.2,13.4,0.8740000000000001,2.2,2.5,2.1,16.8,3.2,3.8,1.0,0.2,1.7
Cade Cunningham,"PG,SG",DET,74,31.7,0.426,5.8,13.6,0.841,2.9,3.5,1.9,16.4,4.8,3.7,1.2,0.6,3.5
Jonathan Isaac,"SF,PF",ORL,60,28.8,0.451,4.0,8.8,0.7659999999999999,1.4,1.9,0.9,10.3,5.4,1.1,1.3,1.7,1.1
Evan Fournier,"SG,SF",NYK,70,31.0,0.453,5.5,12.1,0.807,2.6,3.2,2.8,16.4,3.0,3.0,1.1,0.5,1.7
Norman Powell,"SG,SF",POR,75,32.1,0.467,6.0,12.9,0.87,3.3,3.8,2.4,17.7,3.0,1.8,1.0,0.3,1.7
Kevin Porter Jr.,"SG,SF",HOU,70,33.1,0.4370000000000001,6.6,15.1,0.752,2.6,3.5,2.1,17.9,4.2,6.5,1.2,0.4,3.3
Buddy Hield,"SG,SF",SAC,76,33.3,0.418,5.5,13.2,0.8009999999999999,1.2,1.5,3.9,16.1,4.6,3.5,0.9,0.4,1.8
Harrison Barnes,"SF,PF",SAC,72,35.1,0.496,5.3,10.7,0.831,3.3,4.0,1.6,15.6,6.4,3.4,0.7,0.2,1.6
T.J. McConnell,"PG,SG",IND,76,23.7,0.564,3.7,6.5,0.7190000000000001,0.5,0.6,0.2,7.8,3.4,6.0,1.7,0.3,1.8
Brook Lopez,C,MIL,75,27.1,0.506,4.6,9.0,0.8490000000000001,1.7,2.0,1.4,12.2,5.0,0.7,0.6,1.5,0.9
Kelly Olynyk,"PF,C",DET,73,27.2,0.46,4.2,9.0,0.841,2.0,2.3,1.7,11.9,6.4,2.7,1.0,0.6,1.7
Spencer Dinwiddie,"PG,SG",WAS,69,30.7,0.429,5.9,13.8,0.797,3.6,4.5,2.0,17.4,3.9,6.8,0.8,0.3,3.0
